# 「基本辞書データ（漢字、自由）.tsv」片山博文MZ
# This file is public domain software.
交換日記	コウカンニッキ。
交流	時間とともに周期的に向きが変化する電流。ＡＣ。
交流戦	コウリュウセン。
交渉	ある事を実現するために，当事者と話し合うこと。
交点	マジわるテン。
交通	人や物が物理的に行きカうこと。
交通事故	コウツウジコ。
交通事故死	コウツウジコシ。
交通弱者	コウツウジャクシャ。
交通手段	コウツウシュダン。
交通整理	コウツウセイリ。
交通機関	コウツウキカン。
交通渋滞	コウツウジュウタイ。
交通規則	コウツウキソク。
交通違反	コウツウイハン。
交際	人と人がつきあうこと。
交際宣言	コウサイセンゲン。
京大	キョウ都ダイ学。
京都府	古きミヤコを有する、近畿地方の都道フ県。
京都議定書	キョウトギテイショ。
人一倍	普通の人以上であること。「○○○努力する」
人事	ジンジ。
人事制度	ジンジセイド。
人事異動	ジンジイドウ。
人件費	ジンケンヒ。
人体	ヒトのカラダ。
人出	人が多く出てそこに集まること。ヒトデ。
人前	ヒトビトのマエ。
人力車	ジンリキシャ。
人口	ヒトの数。
人口増加	ジンコウゾウカ。
人口密度	ジンコウミツド。
人口密集地域	ジンコウミッシュウチイキ。
人口流出	ジンコウリュウシュツ。
人口減対策	ジンコウゲンタイサク。
人口減少	ジンコウゲンショウ。
人口減少対策	ジンコウゲンショウタイサク。
人口減社会	ジンコウゲンシャカイ。
人口調査	ジンコウチョウサ。
人命	ヒトのイノチ。
人工呼吸	ジンコウコキュウ。
人工心臓	ジンコウシンゾウ。
人工物	ジンコウブツ。
人工着色料	ジンコウチャクショクリョウ。
人工血管	ジンコウケッカン。
人工衛星	ジンコウエイセイ。
人工関節	ジンコウカンセツ。
人差指	ヒトサシユビ。
人形	紙・木・土などで，人間の形に作ったもの。
人情	ヒトとしての情け。他ニンへの思いやり。
人手	ヒトのテ。
人手不足	ヒトデブソク。
人数	ヒトのカズ。
人文字	ヒトモジ。
人望	他人から寄せられる信頼・崇拝・期待の念。
人材	才能があり、役に立つジン物。
人材不足	ジンザイブソク。
人材交流	ジンザイコウリュウ。
人材派遣	ジンザイハケン。
人材確保	ジンザイカクホ。
人材育成	ジンザイイクセイ。
人格	独立した個ジンとしてのニン間性。キャラクター。
人格者	ジンカクシャ。
人権	幸せに生きるためのケン利。
人権侵害	ジンケンシンガイ。
人殺	ヒトゴロし。
人民元	ジンミンゲン。
人気	好意や関心の的になること。
人気俳優	ニンキハイユウ。
人気商品	ニンキショウヒン。
人気者	ニンキモノ。
人災	ヒトの不注意・怠慢などが主な原因で起こるサイ害。
人為的	ジンイテキ。
人物	ヒト。「登場○○」
人生	ヒトのイき様。ニン間がウまれてから死ぬまで。
人目	ヒトの見るメ。「○○を避けて」
人相	ヒトの顔つき。
人種	ヒトを身体上の特徴によって分類したもの。
人種差別	ジンシュサベツ。
人脈	人々の社会的なつながり。
人質	ヒトジチ。
人質事件	ヒトジチジケン。
人質解放	ヒトジチカイホウ。
人身売買	ジンシンバイバイ。
人造人間	ロボット。
人道的観点	ジンドウテキカンテン。
人間	ニンゲン。
人間社会	ニンゲンシャカイ。
人間関係	ニンゲンカンケイ。
人類	ジンルイ。
人骨	ジンコツ。
人魚	上半身が人間で、下半身が魚である想像上の生物。
今回	コンカイ。
今夜	コンヤ。
今年	コトシ。
今度	コンド。
今後	コンゴ。
