# 「基本辞書データ（英和、自由）.tsv」片山博文MZ
# This file is public domain software.
broom	ほうき。
brother	兄弟。兄。弟。
brotherhood	兄弟の関係。
brow	まゆ。まゆ毛。ひたい。がけっぷち。
brown	茶色。褐色。
bruise	打撲傷。打ち身。植物の傷。
brush	はけ。ブラシ。毛筆。
Brussels	ベルギー（Belgium）の首都、ブリュッセル。
brute	動物。けもの。
bubble	あわ。あぶく。シャボン玉。
buck	雄鹿。トナカイ・カモシカ・ウサギなどの雄。
bucket	バケツ。手おけ。
buckle	（ベルト・革帯などの）締め金。（靴の）留め金。バックル。
buckskin	雄の革。
bud	芽。つぼみ。
Buddha	仏教の開祖、ブッダ。
Buddhism	仏教。
budding	発芽。
budget	予算。予算案。
buffalo	水牛。バッファロー。野牛。
bug	昆虫。虫。
builder	建築業者。建築技師。創始者。
building	建物。ビル。建築。
bulb	球根。電球。
Bulgaria	ブルガリア。
Bulgarian	ブルガリア人。ブルガリア語。
bulk	容積。体積。大部分。積荷。
bull	雄牛。象・鯨・アザラシなどの大型動物の雄。
bulldog	ブルドッグ。
bulldozer	ブルドーザー。
bullet	弾丸。
bullfight	闘牛。
bump	衝突。ドスンという音。
bumper	(自動車の)バンパー。
bunch	(果物などの)ふさ。(同じ種類の)束、山。群れ。
bundle	束。小包。
bunker	ゴルフ場のバンカー（砂地のくぼみ）。sand trap。
bunny	ウサギちゃん。
buoy	浮標。ブイ。浮き袋。
burden	荷。重荷。負担。
bureau	局。事業所。受付。「職業安定所」＝``an employment ～''
burn	日焼け。焼け焦げ。
burner	バーナー。焼く人。燃やす道具。
burst	破裂。爆発。突発。
bus	バス。乗合自動車。
Bush	米国第41代大統領、George ～。
business	仕事。職務。商売。用事。ビジネス。
butcher	肉屋。精肉店。虐殺者。
butter	バター。
butterfly	チョウ。
button	ボタン。
buttonhole	ボタン穴。
buyer	買い手。バイヤー。
buzz	ブンブンいう、うなり音。ガヤガヤとしたざわめき声。
buzzer	ブザー。サイレン。ブンブンうなるもの。
bypass	バイパス。迂回路（うかいろ）。
byproduct	副産物。
Ca	カルシウムの元素記号。
cab	タクシー。
cabaret	歌や踊りのショーがあるレストラン。キャバレー。
cabbage	キャベツ。
cabin	小屋。船室。客室。キャビン。
cabinet	戸棚。キャビネット。内閣。
cable	太い綱。ケーブル線。海底電信。
cacao	カカオ。
cactus	サボテン。
caddie	ゴルフ場でクラブなどを運ぶ人。キャディー。
cadmium	カドミウム。
cafe	カフェ。コーヒー。
cage	鳥かご。おり。
cake	ケーキ。
calcium	カルシウム。
calculation	計算。
calculator	計算機。電卓。
calendar	カレンダー。暦。
calf	子牛。ふくらはぎ。
California	カリフォルニア。
call	呼び声。呼び出し。訪問。魅力。必要性。
caller	訪問者。呼び出し人。
calling	呼ぶこと。点呼。天職。
calm	平静。落ち着き。
calmness	平穏。静けさ。冷静。落ち着き。
calorie	熱量の単位、カロリー。
Cambridge	ケンブリッジ。
camel	ラクダ。
camera	カメラ。写真機。
cameraman	カメラマン。
camp	キャンプ。野営。キャンプ場。陣営。
campaign	軍事行動。運動。キャンペーン。
camper	キャンプをする人。キャンプ用の自動車。
campfire	キャンプのかがり火。キャンプファイアー。
campus	学校の構内。キャンパス。
can	缶。
Canada	カナダ。
Canadian	カナダ人。
canal	運河。導管。
canary	カナリア。
cancellation	取り消し。キャンセル。
cancer	がん。害悪。
candidate	候補。志願者。
candle	ろうそく。キャンドル。
candy	キャンデー。砂糖菓子。
cane	つえ。ステッキ。棍棒。茎。むち。
cannibal	人食い人。共食いする動物。
cannon	大砲。
canoe	カヌー。
canvas	キャンバス。画布。ズック。
canyon	峡谷（きょうこく）。
cap	(ふちなしの)帽子。水泳帽。帽子状のふた。キャップ。
capability	能力。才能。
capacity	収容力。容量。能力。資格。
cape	みさき。
capital	首都。大文字。頭文字。資本。資本家。
capitalism	資本主義。
Capitol	(theをつけて)議事堂。
capsule	カプセル。
captain	船長。長。主将。キャプテン。
caption	表題。見出し。キャプション。タイトル。
